用例ID,需求,用例标题,优先级,模块,类型,描述,步骤,预期结果,关联风险机制,测试数据,状态,阻断原因
TC-COMBAT-001,弓蓄力与释放,弓蓄力20tick满速射出,P0,combat,gametest,bot 手持弓蓄力 20 tick 后释放，验证箭速和伤害为满值,前置: bot 手持弓+箭，站在平地 | 执行: 提交 USE hold 20 tick 后释放 | 观察: 记录 Arrow 实体初速度和伤害,箭初速度约 3.0 blocks/tick，伤害约 9 心（满蓄力）,弓蓄力时长与箭速/伤害不匹配 vanilla,"fixture: bow+64 arrows, flat platform, target zombie at 10 blocks",not_executed,弓蓄力/箭速是远程战斗核心机制，失效则远程完全不可用
TC-COMBAT-002,弓蓄力与释放,弓蓄力不足半速半伤,P1,combat,gametest,bot 手持弓蓄力 10 tick 后释放，验证箭速和伤害约为半值,前置: bot 手持弓+箭 | 执行: USE hold 10 tick 后释放 | 观察: 记录箭速和伤害,箭速约 1.5 blocks/tick，伤害约 4-5 心（半蓄力）,弓蓄力时长与箭速/伤害不匹配 vanilla,"fixture: bow+arrows, flat platform",not_executed,
TC-COMBAT-003,弓蓄力与释放,弓释放后facade退出use状态,P1,combat,gametest,弓释放后 facade.isUsingItem() 应为 false，useTicks 重置,前置: bot 手持弓蓄力中 | 执行: USE falling edge 释放 | 观察: facade.isUsingItem() 状态,释放后 facade.isUsingItem()=false，activeItem 为空,弓蓄力时长与箭速/伤害不匹配 vanilla,fixture: bow+arrows,not_executed,
TC-COMBAT-004,远程负载检测与 SLOT 通道,有弓有箭时切换到弓,P1,combat,unit,hotbar 有弓且 inventory 有箭时，RangedLoadouts.hotbarBowSlot() 返回弓的 slot,前置: hotbar slot 2 有弓，inventory 有 arrow | 执行: 调用 RangedLoadouts.hotbarBowSlot(world) | 观察: 返回值,返回 2（弓的 slot）,远程负载检测遗漏 tipped_arrow/spectral_arrow,"fixture: bow at hotbar[2], 16 arrows in inventory",not_executed,
TC-COMBAT-005,远程负载检测与 SLOT 通道,有弓无箭时返回-1,P1,combat,unit,hotbar 有弓但 inventory 无箭时，RangedLoadouts 返回 -1,前置: hotbar 有弓，inventory 无箭 | 执行: hotbarBowSlot() | 观察: 返回值,返回 -1,远程负载检测遗漏 tipped_arrow/spectral_arrow,"fixture: bow at hotbar[0], no arrows",not_executed,
TC-COMBAT-006,远程负载检测与 SLOT 通道,tipped_arrow和spectral_arrow被识别,P1,combat,unit,inventory 有 tipped_arrow 或 spectral_arrow 时，RangedLoadouts 识别为有箭,前置: hotbar 有弓，inventory 有 tipped_arrow | 执行: hotbarBowSlot() | 观察: 返回值；再用 spectral_arrow 重复,两种箭都返回弓的 slot（非 -1）,远程负载检测遗漏 tipped_arrow/spectral_arrow,fixture: bow + tipped_arrow; bow + spectral_arrow,not_executed,
TC-FISHING-007,钓鱼状态机,抛竿后浮漂生成并入水,P0,fishing,gametest,bot 手持钓鱼竿对水面 USE，验证 FishingHook 实体生成并飞入水中,前置: bot 手持钓鱼竿，面前 3x3 水池 | 执行: USE rising edge 抛竿 | 观察: 水池中是否出现 FishingHook 实体,抛竿后 1-2 tick 内水池中出现浮漂实体,钓鱼咬钩检测 DIP_THRESHOLD 误判; 钓鱼 CAST_GRACE_TICKS 过短导致浮漂未落地就 armed,"fixture: fishing_rod, 3x3 water pool at eye level",not_executed,抛竿是钓鱼入口，失效则钓鱼完全不可用
TC-FISHING-008,钓鱼状态机,浮漂稳定后armed状态,P1,fishing,gametest,抛竿后浮漂入水稳定（5 tick），FishBehavior 进入 armed 状态,前置: 已抛竿，浮漂在水中 | 执行: 等待 30 tick grace + 5 tick 稳定 | 观察: FishBehavior.armed 状态（通过行为推断：咬钩检测是否生效）,约 35 tick 后 armed，咬钩检测生效,钓鱼 CAST_GRACE_TICKS 过短导致浮漂未落地就 armed,"fixture: fishing_rod, stable water pool",not_executed,
TC-FISHING-009,咬钩检测与浮漂感知,咬钩垂直dip触发收竿,P0,fishing,gametest,浮漂 armed 后，模拟鱼咬钩（浮漂垂直急坠 >=0.25），验证 bot 收竿,前置: 已抛竿且 armed | 执行: 等待自然咬钩或模拟浮漂垂直下落 | 观察: bot 是否在 1-2 tick 内 USE edge 收竿,浮漂垂直下落 >=0.25 时 bot 收竿,钓鱼咬钩检测 DIP_THRESHOLD 误判,"fixture: fishing_rod, water pool with fish (或手动移动浮漂)",not_executed,咬钩检测是钓鱼核心，失效则鱼跑了不收竿
TC-FISHING-010,咬钩检测与浮漂感知,水波浮动不触发收竿,P1,fishing,gametest,浮漂正常水波浮动（<0.25）不应触发收竿,前置: 已抛竿且 armed，无鱼 | 执行: 观察 100 tick 自然浮动 | 观察: bot 是否误收竿,100 tick 内无咬钩时不收竿（或到 BITE_BUDGET=600 才超时收竿）,钓鱼咬钩检测 DIP_THRESHOLD 误判,"fixture: fishing_rod, calm water, no fish",not_executed,
